Amitabh Bachchan	Q9570	1942	Q6581097
Bruce Lee	Q16397	1940	Q6581097
Toshiro Mifune	Q37001	1920	Q6581097
Pran	Q3111264	1920	Q6581097
Brigitte Bardot	Q36268	1934	Q6581072
Jean-Paul Belmondo	Q106255	1933	Q6581097
Sarah Bernhardt	Q4605	1844	Q6581072
Alain Delon	Q106529	1935	Q6581097
Fernandel	Q129092	1903	Q6581097
Louis de Funès	Q2737	1914	Q6581097
Jean Gabin	Q23842	1904	Q6581097
Jean Marais	Q168359	1913	Q6581097
Gérard Philipe	Q150662	1922	Q6581097
Richard Burton	Q151973	1925	Q6581097
Michael Caine	Q123351	1933	Q6581097
Sean Connery	Q4573	1930	Q6581097
Daniel Day-Lewis	Q166389	1957	Q6581097
Audrey Hepburn	Q42786	1929	Q6581072
Anthony Hopkins	Q65932	1937	Q6581097
Edmund Kean	Q704385	1787	Q6581097
Vivien Leigh	Q129429	1913	Q6581072
Laurence Olivier	Q55245	1907	Q6581097
Peter O'Toole	Q103876	1932	Q6581097
Peter Sellers	Q177984	1925	Q6581097
Adriano Celentano	Q199943	1938	Q6581097
Gina Lollobrigida	Q56009	1927	Q6581072
Sophia Loren	Q43252	1934	Q6581072
Marcello Mastroianni	Q55469	1924	Q6581097
Fred Astaire	Q100937	1899	Q6581097
Humphrey Bogart	Q16390	1899	Q6581097
Marlon Brando	Q34012	1924	Q6581097
James Cagney	Q94041	1899	Q6581097
Charlie Chaplin	Q882	1889	Q6581097
Claudette Colbert	Q203819	1903	Q6581072
Gary Cooper	Q93957	1901	Q6581097
Joan Crawford	Q40475	1905	Q6581072
Bette Davis	Q71206	1908	Q6581072
Doris Day	Q104372	1922	Q6581072
Robert De Niro	Q36949	1943	Q6581097
James Dean	Q83359	1931	Q6581097
Henry Fonda	Q19155	1905	Q6581097
Jane Fonda	Q41142	1937	Q6581072
Clark Gable	Q71243	1901	Q6581097
Judy Garland	Q11637	1922	Q6581072
Lillian Gish	Q104183	1893	Q6581072
Whoopi Goldberg	Q49001	1955	Q6581072
Cary Grant	Q83410	1904	Q6581097
Tom Hanks	Q2263	1956	Q6581097
Katharine Hepburn	Q56016	1907	Q6581072
Buster Keaton	Q103949	1895	Q6581097
Gene Kelly	Q73089	1912	Q6581097
Grace Kelly	Q3925	1929	Q6581072
Harold Lloyd	Q104340	1893	Q6581097
Liza Minnelli	Q14441	1946	Q6581072
Marilyn Monroe	Q4616	1926	Q6581072
Jack Nicholson	Q39792	1937	Q6581097
Gregory Peck	Q108366	1916	Q6581097
Mary Pickford	Q104109	1892	Q6581072
Barbara Stanwyck	Q94002	1907	Q6581072
James Stewart	Q102462	1908	Q6581097
Meryl Streep	Q873	1949	Q6581072
Gloria Swanson	Q229232	1899	Q6581072
Elizabeth Taylor	Q34851	1932	Q6581072
Shirley Temple	Q182580	1928	Q6581072
Spencer Tracy	Q71275	1900	Q6581097
John Wayne	Q40531	1907	Q6581097
Mae West	Q202878	1893	Q6581072
Robin Williams	Q83338	1951	Q6581097
Armen Dzhigarkhanyan	Q471740	1935	Q6581097
Yevgeny Leonov	Q717810	1926	Q6581097
Innokenty Smoktunovsky	Q380250	1925	Q6581097
Mikhail Ulyanov	Q376335	1927	Q6581097
Ingrid Bergman	Q43247	1915	Q6581072
Marlene Dietrich	Q4612	1901	Q6581072
Greta Garbo	Q5443	1905	Q6581072
Asta Nielsen	Q232404	1881	Q6581072
Maximilian Schell	Q153018	1930	Q6581097
Alvin Ailey	Q449037	1931	Q6581097
Frederick Ashton	Q711073	1904	Q6581097
Mikhail Baryshnikov	Q295420	1948	Q6581097
Maurice Béjart	Q217764	1927	Q6581097
Carlo Blasis	Q944176	1797	Q6581097
Erik Bruhn	Q1320382	1928	Q6581097
Cyd Charisse	Q62558	1921	Q6581072
Isadora Duncan	Q483512	1877	Q6581072
Fanny Elssler	Q435304	1810	Q6581072
Michel Fokine	Q314312	1880	Q6581097
Margot Fonteyn	Q231776	1919	Q6581072
Bob Fosse	Q313256	1927	Q6581097
Gregory Hines	Q367653	1946	Q6581097
Tamara Karsavina	Q231316	1885	Q6581072
Rudolf von Laban	Q213712	1879	Q6581097
Vaslav Nijinsky	Q194363	1889	Q6581097
Rudolf Nureyev	Q84217	1938	Q6581097
Anna Pavlova	Q151874	1882	Q6581072
Marius Petipa	Q312320	1818	Q6581097
Jerome Robbins	Q353019	1918	Q6581097
Marie Taglioni	Q203990	1804	Q6581072
Maria Tallchief	Q264400	1925	Q6581072
David Copperfield	Q139637	1956	Q6581097
Harry Houdini	Q131545	1874	Q6581097
George Carlin	Q150651	1937	Q6581097
Hieronymus Bosch	Q130531	1450	Q6581097
Jan van Eyck	Q102272	1390	Q6581097
Giotto	Q7814	1267	Q6581097
Andrei Rublev	Q838	1360	Q6581097
Jacques-Louis David	Q83155	1748	Q6581097
Eugène Delacroix	Q33477	1798	Q6581097
Nicolas Poussin	Q41554	1594	Q6581097
Albrecht Dürer	Q5580	1471	Q6581097
Caspar David Friedrich	Q104884	1774	Q6581097
Hans Holbein the Younger	Q48319	1497	Q6581097
Caravaggio	Q42207	1571	Q6581097
Giovanni Bellini	Q17169	1430	Q6581097
Sandro Botticelli	Q5669	1445	Q6581097
Canaletto	Q182664	1697	Q6581097
Piero della Francesca	Q5822	1415	Q6581097
Andrea Mantegna	Q5681	1431	Q6581097
Masaccio	Q5811	1401	Q6581097
Raphael	Q5597	1483	Q6581097
Andrea del Sarto	Q5571	1487	Q6581097
Tintoretto	Q9319	1518	Q6581097
Titian	Q47551	1488	Q6581097
Paolo Veronese	Q9440	1528	Q6581097
Leonardo da Vinci	Q762	1452	Q6581097
Anthony van Dyck	Q150679	1599	Q6581097
Peter Paul Rubens	Q5599	1577	Q6581097
Rembrandt	Q5598	1606	Q6581097
Johannes Vermeer	Q41264	1632	Q6581097
El Greco	Q301	1541	Q6581097
Jusepe de Ribera	Q297838	1591	Q6581097
Diego Velázquez	Q297	1599	Q6581097
Marc Chagall	Q93284	1887	Q6581097
René Magritte	Q7836	1898	Q6581097
Paul Klee	Q44007	1879	Q6581097
Gustav Klimt	Q34661	1862	Q6581097
Edvard Munch	Q41406	1863	Q6581097
Victor Vasarely	Q154448	1906	Q6581097
Paul Cézanne	Q35548	1839	Q6581097
Edgar Degas	Q46373	1834	Q6581097
Paul Gauguin	Q37693	1848	Q6581097
Marcel Duchamp	Q5912	1887	Q6581097
Jean Auguste Dominique Ingres	Q23380	1780	Q6581097
Édouard Manet	Q40599	1832	Q6581097
Henri Matisse	Q5589	1869	Q6581097
Claude Monet	Q296	1840	Q6581097
Pierre-Auguste Renoir	Q39931	1841	Q6581097
Henri Rousseau	Q156386	1844	Q6581097
Henri de Toulouse-Lautrec	Q82445	1864	Q6581097
Georges Seurat	Q34013	1859	Q6581097
Francis Bacon (artist)	Q154340	1909	Q6581097
William Hogarth	Q171344	1697	Q6581097
J. M. W. Turner	Q159758	1775	Q6581097
Frida Kahlo	Q5588	1907	Q6581072
M. C. Escher	Q1470	1898	Q6581097
Vincent van Gogh	Q5582	1853	Q6581097
Piet Mondrian	Q151803	1872	Q6581097
Wassily Kandinsky	Q61064	1866	Q6581097
Kazimir Malevich	Q130777	1878	Q6581097
Ilya Repin	Q172911	1844	Q6581097
Nicholas Roerich	Q208993	1874	Q6581097
Salvador Dalí	Q5577	1904	Q6581097
Francisco Goya	Q5432	1746	Q6581097
Joan Miró	Q152384	1893	Q6581097
Pablo Picasso	Q5593	1881	Q6581097
Mary Cassatt	Q173223	1844	Q6581072
Georgia O'Keeffe	Q46408	1887	Q6581072
Jackson Pollock	Q37571	1912	Q6581097
Mark Rothko	Q160149	1903	Q6581097
Andy Warhol	Q5603	1928	Q6581097
Grant Wood	Q217434	1891	Q6581097
Gian Lorenzo Bernini	Q160538	1598	Q6581097
Donatello	Q37562	1386	Q6581097
Michelangelo	Q5592	1475	Q6581097
Phidias	Q177302	-0490	Q6581097
Auguste Rodin	Q30755	1840	Q6581097
Marie-Antoine Carême	Q355751	1784	Q6581097
Francesco Borromini	Q123150	1599	Q6581097
Donato Bramante	Q7793	1443	Q6581097
Imhotep	Q131171	-2800	Q6581097
Inigo Jones	Q295929	1573	Q6581097
François Mansart	Q313701	1598	Q6581097
Palladio	Q177692	1508	Q6581097
Mimar Sinan	Q5600	1490	Q6581097
Vitruvius	Q47163	-0080	Q6581097
Christopher Wren	Q170373	1632	Q6581097
Gaudí	Q25328	1852	Q6581097
Victor Horta	Q49744	1861	Q6581097
Karl Friedrich Schinkel	Q151759	1781	Q6581097
Louis Sullivan	Q243240	1856	Q6581097
Alvar Aalto	Q82840	1898	Q6581097
Günter Behnisch	Q60694	1922	Q6581097
Peter Behrens	Q76726	1868	Q6581097
Le Corbusier	Q4724	1887	Q6581097
Buckminster Fuller	Q102289	1895	Q6581097
Frank Gehry	Q180374	1929	Q6581097
Walter Burley Griffin	Q559852	1876	Q6581097
Walter Gropius	Q61071	1883	Q6581097
William Le Baron Jenney	Q715701	1832	Q6581097
Richard Meier	Q159612	1934	Q6581097
Erich Mendelsohn	Q76730	1887	Q6581097
Richard Neutra	Q84312	1892	Q6581097
Oscar Niemeyer	Q134165	1907	Q6581097
Frei Otto	Q64412	1925	Q6581097
I. M. Pei	Q46868	1917	Q6581097
Renzo Piano	Q190148	1937	Q6581097
Ludwig Mies van der Rohe	Q41508	1886	Q6581097
Hans Scharoun	Q57481	1893	Q6581097
Kenzo Tange	Q151794	1913	Q6581097
Frank Lloyd Wright	Q5604	1867	Q6581097
Shitao	Q469439	1642	Q6581097
Raja Ravi Varma	Q333453	1848	Q6581097
Hiroshige	Q200798	1797	Q6581097
Hokusai	Q5586	1760	Q6581097
Sesshū Tōyō	Q48514	1420	Q6581097
Abu Nuwas	Q5670	0756	Q6581097
Adam Mickiewicz	Q79822	1798	Q6581097
Alexander Pushkin	Q7200	1799	Q6581097
Alejo Carpentier	Q216466	1904	Q6581097
Alexandre Dumas	Q38337	1802	Q6581097
Alice Walker	Q215868	1944	Q6581072
Allen Ginsberg	Q6711	1926	Q6581097
Amir Khusrow	Q207817	1253	Q6581097
Anton Chekhov	Q5685	1860	Q6581097
Arthur Rimbaud	Q493	1854	Q6581097
Carl Sandburg	Q193608	1878	Q6581097
Charles Dickens	Q5686	1812	Q6581097
Cicero	Q1541	-0106	Q6581097
Dashiell Hammett	Q186335	1894	Q6581097
Douglas Adams	Q42	1952	Q6581097
Du Fu	Q33772	0712	Q6581097
Edgar Allan Poe	Q16867	1809	Q6581097
Eino Leino	Q360079	1878	Q6581097
Emily Dickinson	Q4441	1830	Q6581072
Erich Maria Remarque	Q47293	1898	Q6581097
Ernest Hemingway	Q23434	1899	Q6581097
F. Scott Fitzgerald	Q93354	1896	Q6581097
Franz Kafka	Q905	1883	Q6581097
Fyodor Dostoyevsky	Q991	1821	Q6581097
John Donne	Q140412	1572	Q6581097
Gabriel García Márquez	Q5878	1927	Q6581097
Geoffrey Chaucer	Q5683	1343	Q6581097
George Bernard Shaw	Q19185	1856	Q6581097
George Orwell	Q3335	1903	Q6581097
Ghalib	Q107000	1797	Q6581097
H. G. Wells	Q42511	1866	Q6581097
Hans Christian Andersen	Q5673	1805	Q6581097
Harold Pinter	Q41042	1930	Q6581097
Heinrich Heine	Q44403	1797	Q6581097
Henrik Ibsen	Q36661	1828	Q6581097
Henry James	Q170509	1843	Q6581097
Henry Miller	Q187765	1891	Q6581097
Hermann Hesse	Q25973	1877	Q6581097
Isaac Asimov	Q34981	1920	Q6581097
Ivan Vazov	Q310630	1850	Q6581097
J. R. R. Tolkien	Q892	1892	Q6581097
Jack Kerouac	Q160534	1922	Q6581097
Jack London	Q45765	1876	Q6581097
Rumi	Q43347	1207	Q6581097
James Joyce	Q6882	1882	Q6581097
Jane Austen	Q36322	1775	Q6581072
Johann Wolfgang von Goethe	Q5879	1749	Q6581097
John Steinbeck	Q39212	1902	Q6581097
John Updike	Q105756	1932	Q6581097
Jonathan Swift	Q41166	1667	Q6581097
Jorge Luis Borges	Q909	1899	Q6581097
José Martí	Q103285	1853	Q6581097
José Saramago	Q37060	1922	Q6581097
Jules Verne	Q33977	1828	Q6581097
Kālidāsa	Q7011		Q6581097
Langston Hughes	Q188093	1902	Q6581097
Leo Tolstoy	Q7243	1828	Q6581097
Lewis Carroll	Q38082	1832	Q6581097
Li Bai	Q7071	0701	Q6581097
Lord Byron	Q5679	1788	Q6581097
Marcel Proust	Q7199	1871	Q6581097
Mark Twain	Q7245	1835	Q6581097
Mario Vargas Llosa	Q39803	1936	Q6581097
Matsuo Bashō	Q5676	1644	Q6581097
Maxim Gorky	Q12706	1868	Q6581097
Miguel de Cervantes	Q5682	1547	Q6581097
Mikhail Bulgakov	Q835	1891	Q6581097
Molière	Q687	1622	Q6581097
Murasaki Shikibu	Q81731	0973	Q6581072
Naguib Mahfouz	Q7176	1911	Q6581097
Nathaniel Hawthorne	Q69339	1804	Q6581097
Nikolai Gogol	Q43718	1809	Q6581097
Nikos Kazantzakis	Q214622	1883	Q6581097
Olaf Stapledon	Q337373	1886	Q6581097
Omar Khayyám	Q35900	1048	Q6581097
Pablo Neruda	Q34189	1904	Q6581097
Petrarch	Q1401	1304	Q6581097
Philip K. Dick	Q171091	1928	Q6581097
Rabindranath Tagore	Q7241	1861	Q6581097
Rainer Maria Rilke	Q76483	1875	Q6581097
Gabriele D’Annunzio	Q193236	1863	Q6581097
Robert A. Heinlein	Q123078	1907	Q6581097
Saadi Shirazi	Q170302	1210	Q6581097
Salman Rushdie	Q44306	1947	Q6581097
Sappho	Q17892	-0650	Q6581072
Saul Bellow	Q83059	1915	Q6581097
Thomas Hardy	Q132805	1840	Q6581097
Thomas Mann	Q37030	1875	Q6581097
Thomas Pynchon	Q35155	1937	Q6581097
Toni Morrison	Q72334	1931	Q6581072
Truman Capote	Q134180	1924	Q6581097
Umberto Eco	Q12807	1932	Q6581097
Victor Hugo	Q535	1802	Q6581097
Yasunari Kawabata	Q43736	1899	Q6581097
Yukio Mishima	Q134456	1925	Q6581097
Qu Yuan	Q313330	-0343	Q6581097
Aesop	Q43423	-0620	Q6581097
Menander	Q118992	-0340	Q6581097
Aeschylus	Q40939	-0525	Q6581097
Aristophanes	Q43353	-0448	Q6581097
Euripides	Q48305	-0480	Q6581097
Hafez	Q6240	1326	Q6581097
Homer	Q6691	-0900	Q6581097
Horace	Q6197	-0065	Q6581097
Ovid	Q7198	-0043	Q6581097
Plutarch	Q41523	0040	Q6581097
Sophocles	Q7235	-0496	Q6581097
Virgil	Q1398	-0070	Q6581097
Pliny the Elder	Q82778	0020	Q6581097
Dante Alighieri	Q1067	1265	Q6581097
Ferdowsi	Q43459	0940	Q6581097
Jami	Q312458	1414	Q6581097
Kabir	Q312551	1440	Q6581097
Nizami Ganjavi	Q234908	1141	Q6581097
Rudaki	Q312954	0859	Q6581097
Giovanni Boccaccio	Q1402	1313	Q6581097
Ali-Shir Nava'i	Q503340	1441	Q6581097
William Shakespeare	Q692	1564	Q6581097
Chrétien de Troyes	Q4302	1135	Q6581097
Christine de Pizan	Q234816		Q6581072
François Villon 	Q849	1431	Q6581097
Fuzûlî	Q178379	1494	Q6581097
Tulsidas	Q312976	1532	Q6581097
Pedro Calderón de la Barca	Q170800	1600	Q6581097
Luís de Camões	Q590	1524	Q6581097
Pierre Corneille	Q747	1606	Q6581097
Daniel Defoe	Q40946	1660	Q6581097
Gavrila Derzhavin	Q270275	1743	Q6581097
John Dryden	Q213355	1631	Q6581097
Samuel Johnson	Q183266	1709	Q6581097
John Milton	Q79759	1608	Q6581097
Michel de Montaigne	Q41568	1533	Q6581097
François Rabelais	Q131018	1494	Q6581097
Jean Racine	Q742	1639	Q6581097
Lope de Vega	Q165257	1562	Q6581097
Chinua Achebe	Q155845	1930	Q6581097
Samuel Beckett	Q37327	1906	Q6581097
William Blake	Q41513	1757	Q6581097
Bertolt Brecht	Q38757	1898	Q6581097
Ray Bradbury	Q40640	1920	Q6581097
Raymond Chandler	Q180377	1888	Q6581097
Agatha Christie	Q35064	1890	Q6581072
Arthur C. Clarke	Q47087	1917	Q6581097
Arthur Conan Doyle	Q35610	1859	Q6581097
Roald Dahl	Q25161	1916	Q6581097
Robert Frost	Q168728	1874	Q6581097
Aldous Huxley	Q81447	1894	Q6581097
Rudyard Kipling	Q34743	1865	Q6581097
Astrid Lindgren	Q55767	1907	Q6581072
Guy de Maupassant	Q9327	1850	Q6581097
Arthur Miller	Q80596	1915	Q6581097
Vladimir Nabokov	Q36591	1899	Q6581097
J. K. Rowling	Q34660	1965	Q6581072
Mary Shelley	Q47152	1797	Q6581072
Wole Soyinka	Q41488	1934	Q6581097
Robert Louis Stevenson	Q1512	1850	Q6581097
Walt Whitman	Q81438	1819	Q6581097
Oscar Wilde	Q30875	1854	Q6581097
Virginia Woolf	Q40909	1882	Q6581072
W. B. Yeats	Q40213	1865	Q6581097
Ngũgĩ wa Thiong'o	Q302910	1938	Q6581097
J. M. Coetzee	Q43293	1940	Q6581097
Nadine Gordimer	Q47619	1923	Q6581072
Margaret Atwood	Q183492	1939	Q6581072
Pearl S. Buck	Q80900	1892	Q6581072
Washington Irving	Q181667	1783	Q6581097
Jaroslav Hašek	Q2754	1883	Q6581097
T. S. Eliot	Q37767	1888	Q6581097
Mihai Eminescu	Q184935	1850	Q6581097
William Faulkner	Q38392	1897	Q6581097
Ken Kesey	Q244390	1935	Q6581097
Guillaume Apollinaire	Q133855	1880	Q6581097
Constantine P. Cavafy	Q216980	1863	Q6581097
Stendhal	Q502	1783	Q6581097
William Golding	Q44183	1911	Q6581097
Stephen King	Q39829	1947	Q6581097
Ursula K. Le Guin	Q181659	1929	Q6581072
Sinclair Lewis	Q123469	1885	Q6581097
Herman Melville	Q4985	1819	Q6581097
Margaret Mitchell	Q173540	1900	Q6581072
Mario Puzo	Q182870	1920	Q6581097
Ezra Pound	Q163366	1885	Q6581097
J. D. Salinger	Q79904	1919	Q6581097
Isaac Bashevis Singer	Q75612	1903	Q6581097
Harriet Beecher Stowe	Q102513	1811	Q6581072
Kurt Vonnegut	Q49074	1922	Q6581097
Jorge Amado	Q184440	1912	Q6581097
Chinghiz Aitmatov	Q484292	1928	Q6581097
Muhammad Iqbal	Q484141	1877	Q6581097
Haruki Murakami	Q134798	1949	Q6581097
Kenzaburō Ōe	Q80095	1935	Q6581097
Orhan Pamuk	Q241248	1952	Q6581097
Lu Xun	Q23114	1881	Q6581097
Kahlil Gibran	Q47737	1883	Q6581097
France Prešeren	Q1031	1800	Q6581097
Ismail Kadare	Q179695	1936	Q6581097
Joseph Conrad	Q82925	1857	Q6581097
Sándor Petőfi	Q81219	1823	Q6581097
Henryk Sienkiewicz	Q41502	1846	Q6581097
Taras Shevchenko	Q134958	1814	Q6581097
Anna Akhmatova	Q80440	1889	Q6581072
Joseph Brodsky	Q862	1940	Q6581097
Ivan Bunin	Q46602	1870	Q6581097
Nikolay Karamzin	Q191598	1766	Q6581097
Mikhail Lermontov	Q46599	1814	Q6581097
Vladimir Mayakovsky	Q132964	1893	Q6581097
Nikolay Nekrasov	Q208003	1821	Q6581097
Boris Pasternak	Q41223	1890	Q6581097
Aleksandr Solzhenitsyn	Q34474	1918	Q6581097
Aleksey Nikolayevich Tolstoy	Q192279	1882	Q6581097
Ivan Turgenev	Q42831	1818	Q6581097
Honoré de Balzac	Q9711	1799	Q6581097
Charles Baudelaire	Q501	1821	Q6581097
Karen Blixen	Q182804	1885	Q6581072
Gustave Flaubert	Q43444	1821	Q6581097
Anne Frank	Q4583	1929	Q6581072
Federico García Lorca	Q41408	1898	Q6581097
André Gide	Q47484	1869	Q6581097
Knut Hamsun	Q40826	1859	Q6581097
Eugène Ionesco	Q46706	1909	Q6581097
Selma Lagerlöf	Q44519	1858	Q6581072
Luigi Pirandello	Q1403	1867	Q6581097
Friedrich Schiller	Q22670	1759	Q6581097
August Strindberg	Q7724	1849	Q6581097
Tristan Tzara	Q16409	1896	Q6581097
Émile Zola	Q504	1840	Q6581097
Paul Celan	Q153905	1920	Q6581097
W. H. Auden	Q178698	1907	Q6581097
Enid Blyton	Q192069	1897	Q6581072
Anthony Burgess	Q217619	1917	Q6581097
Graham Greene	Q128560	1904	Q6581097
John Keats	Q82083	1795	Q6581097
C. S. Lewis	Q9204	1898	Q6581097
Alan Moore	Q205739	1953	Q6581097
Walter Scott	Q79025	1771	Q6581097
John Millington Synge	Q213447	1871	Q6581097
William Wordsworth	Q45546	1770	Q6581097
Samuel Taylor Coleridge	Q82409	1772	Q6581097
Percy Bysshe Shelley	Q93343	1792	Q6581097
Ryūnosuke Akutagawa	Q186326	1892	Q6581097
Lesya Ukrainka	Q298033	1871	Q6581072
Hildegard of Bingen	Q70991	1098	Q6581072
Guillaume Dufay	Q207717	1397	Q6581097
Giovanni da Palestrina	Q179277	1525	Q6581097
Johann Sebastian Bach	Q1339	1685	Q6581097
George Frideric Handel	Q7302	1685	Q6581097
Claudio Monteverdi	Q53068	1567	Q6581097
Antonio Vivaldi	Q1340	1678	Q6581097
Ludwig van Beethoven	Q255	1770	Q6581097
Joseph Haydn	Q7349	1732	Q6581097
Wolfgang Amadeus Mozart	Q254	1756	Q6581097
Mily Balakirev	Q185040	1836	Q6581097
Hector Berlioz	Q1151	1803	Q6581097
Georges Bizet	Q56158	1838	Q6581097
Alexander Borodin	Q164004	1833	Q6581097
Johannes Brahms	Q7294	1833	Q6581097
Anton Bruckner	Q81752	1824	Q6581097
Frédéric Chopin	Q1268	1810	Q6581097
César Cui	Q208546	1835	Q6581097
Antonín Dvořák	Q7298	1841	Q6581097
Edvard Grieg	Q80621	1843	Q6581097
Franz Liszt	Q41309	1811	Q6581097
Gustav Mahler	Q7304	1860	Q6581097
Felix Mendelssohn	Q46096	1809	Q6581097
Modest Mussorgsky	Q132682	1839	Q6581097
Nikolai Rimsky-Korsakov	Q93227	1844	Q6581097
Gioachino Rossini	Q9726	1792	Q6581097
Franz Schubert	Q7312	1797	Q6581097
Robert Schumann	Q7351	1810	Q6581097
Bedřich Smetana	Q48173	1824	Q6581097
Johann Strauss	Q83309	1825	Q6581097
Pyotr Ilyich Tchaikovsky	Q7315	1840	Q6581097
